,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,Молоко БЗМЖ Простоквашино отборное 3.4-4.5% 0.93 пл/б,97,1,97,"167,5",2021-09-20 21:29,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,,,
,Пакет Майка 28*50 14мкм,"1,5",1,"1,5","167,5",2021-09-20 21:29,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,,,
,Пиво Bud светлое 5.0% 0.47 ст/б,59,1,59,118,2021-09-20 13:08,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '614da23d86fc9d87df36aed7', 'kind': 'kkt', 'createdAt': '2021-09-24T13:02:37+03:00', 'statusDescription': {}, 'qr': 't=20210920T1308&s=118.00&fn=9960440300049128&i=69226&fp=1140768825&n=1', 'operation': {'date': '2021-09-20T13:08', 'type': 1, 'sum': 11800}, 'process': [{'time': '2021-09-24T10:02:37+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 11800, 'documentId': 69226, 'fsId': '9960440300049128', 'fiscalSign': '1140768825', 'date': '2021-09-20T13:08'}, 'ticket': {'document': {'receipt': {'dateTime': 1632132480, 'cashTotalSum': 11800, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 0, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 69226, 'fiscalDriveNumber': '9960440300049128', 'fiscalSign': 1140768825, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Пиво Bud светлое 5.0% 0.47 ст/б', 'nds': 1, 'ndsSum': 983, 'paymentType': 4, 'price': 5900, 'productType': 1, 'quantity': 1, 'sum': 5900}, {'name': 'Пиво Bud светлое 5.0% 0.47 ст/б', 'nds': 1, 'ndsSum': 983, 'paymentType': 4, 'price': 5900, 'productType': 1, 'quantity': 1, 'sum': 5900}], 'kktRegId': '0003988548027570    ', 'nds18': 1966, 'operationType': 1, 'operator': 'ЭГЕМБЕРДИЕВА НУРИДА КАССИР', 'operatorInn': '544001483460', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 137, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': '630090, г.Новосибирск, ул.Ильича, д.6', 'shiftNumber': 282, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 11800, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210920T130800&s=118.00&fn=9960440300049128&i=69226&fp=1140768825&n=1,,,
,Пиво Bud светлое 5.0% 0.47 ст/б,59,1,59,118,2021-09-20 13:08,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,,,
,Пиво Томское Холодный хмель светлое 4.9% 0.5 ст/б,71,1,71,71,2021-09-20 20:08,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '614da25886fc9d87df36aee4', 'kind': 'kkt', 'createdAt': '2021-09-24T13:03:04+03:00', 'statusDescription': {}, 'qr': 't=20210920T2008&s=71.00&fn=9960440300049128&i=69455&fp=3177212703&n=1', 'operation': {'date': '2021-09-20T20:08', 'type': 1, 'sum': 7100}, 'process': [{'time': '2021-09-24T10:03:04+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 7100, 'documentId': 69455, 'fsId': '9960440300049128', 'fiscalSign': '3177212703', 'date': '2021-09-20T20:08'}, 'ticket': {'document': {'receipt': {'dateTime': 1632157680, 'cashTotalSum': 7100, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 0, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 69455, 'fiscalDriveNumber': '9960440300049128', 'fiscalSign': 3177212703, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Пиво Томское Холодный хмель светлое 4.9% 0.5 ст/б', 'nds': 1, 'ndsSum': 1183, 'paymentType': 4, 'price': 7100, 'productType': 1, 'quantity': 1, 'sum': 7100}], 'kktRegId': '0003988548027570    ', 'nds18': 1183, 'operationType': 1, 'operator': 'БОРИСЕНКО КРИСТИНА ВЛАДИМИРОВНА', 'operatorInn': '544500413027', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 366, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': '630090, г.Новосибирск, ул.Ильича, д.6', 'shiftNumber': 282, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 7100, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210920T200800&s=71.00&fn=9960440300049128&i=69455&fp=3177212703&n=1,,,
,Продукт БЗМЖ творож.Данон Danissimo Тирамису 5.6% 130г,55,1,55,"223,7",2021-09-20 21:44,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '614da2d86c74136650fd2934', 'kind': 'kkt', 'createdAt': '2021-09-24T13:05:12+03:00', 'statusDescription': {}, 'qr': 't=20210920T2144&s=223.70&fn=9960440300049128&i=69509&fp=689180051&n=1', 'operation': {'date': '2021-09-20T21:44', 'type': 1, 'sum': 22370}, 'process': [{'time': '2021-09-24T10:05:12+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 22370, 'documentId': 69509, 'fsId': '9960440300049128', 'fiscalSign': '689180051', 'date': '2021-09-20T21:44'}, 'ticket': {'document': {'receipt': {'dateTime': 1632163440, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 22370, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 69509, 'fiscalDriveNumber': '9960440300049128', 'fiscalSign': 689180051, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Продукт БЗМЖ творож.Данон Danissimo Тирамису 5.6% 130г', 'nds': 2, 'ndsSum': 500, 'paymentType': 4, 'price': 5500, 'productType': 1, 'quantity': 1, 'sum': 5500}, {'name': 'Печ.СУС Berner Клубника с мармеладом в сах.глаз.', 'nds': 2, 'ndsSum': 938, 'paymentType': 4, 'price': 25800, 'productType': 1, 'quantity': 0.4, 'sum': 10320}, {'name': 'Молоко БЗМЖ Академ.хоз-во питьевое нормализованное 1.5% 0.9', 'nds': 2, 'ndsSum': 582, 'paymentType': 4, 'price': 6400, 'productType': 1, 'quantity': 1, 'sum': 6400}, {'name': 'Пакет Майка 28*50 14мкм', 'nds': 1, 'ndsSum': 25, 'paymentType': 4, 'price': 150, 'productType': 1, 'quantity': 1, 'sum': 150}], 'kktRegId': '0003988548027570    ', 'nds10': 2020, 'nds18': 25, 'operationType': 1, 'operator': 'БОРИСЕНКО КРИСТИНА ВЛАДИМИРОВНА', 'operatorInn': '544500413027', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 420, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': '630090, г.Новосибирск, ул.Ильича, д.6', 'shiftNumber': 282, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 22370, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210920T214400&s=223.70&fn=9960440300049128&i=69509&fp=689180051&n=1,,,
,Печ.СУС Berner Клубника с мармеладом в сах.глаз.,258,"0,4","103,2","223,7",2021-09-20 21:44,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,,,
,Молоко БЗМЖ Академ.хоз-во питьевое нормализованное 1.5% 0.9,64,1,64,"223,7",2021-09-20 21:44,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,,,
,Пакет Майка 28*50 14мкм,"1,5",1,"1,5","223,7",2021-09-20 21:44,Супермаркет ТЦ,"630090, г.Новосибирск, ул.Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,,,
,ЛАКТАЦИД Д/ИНТИМ. ГИГИЕНЫ 200МЛ. (ФЕМИНА) [LACTACYD],295,1,295,379,2021-09-17 12:30,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '614da32def3efbf0512b6bae', 'kind': 'kkt', 'createdAt': '2021-09-24T13:06:37+03:00', 'statusDescription': {}, 'qr': 't=20210917T1230&s=379.00&fn=9280440301480695&i=8734&fp=2728395552&n=1', 'operation': {'date': '2021-09-17T12:30', 'type': 1, 'sum': 37900}, 'process': [{'time': '2021-09-24T10:06:37+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 37900, 'documentId': 8734, 'fsId': '9280440301480695', 'fiscalSign': '2728395552', 'date': '2021-09-17T12:30'}, 'ticket': {'document': {'receipt': {'dateTime': 1631871000, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 37900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8734, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 2728395552, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ЛАКТАЦИД Д/ИНТИМ. ГИГИЕНЫ 200МЛ. (ФЕМИНА) [LACTACYD]', 'nds': 1, 'ndsSum': 0, 'paymentType': 4, 'price': 29500, 'productType': 1, 'quantity': 1, 'sum': 29500}, {'name': 'РИНОНОРМ-ТЕВА 0,1% 20МЛ. НАЗАЛ.СПРЕЙ /ТЕВА/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 8400, 'productType': 1, 'productCodeData': {'gtin': 4030096122962, 'rawProductCode': '444D03AA5472A45232323530383830313533353134', 'productIdType': 6, 'sernum': '2250880153514'}, 'quantity': 1, 'sum': 8400}], 'kktRegId': '0004067186040429    ', 'nds10': 764, 'nds18': 4917, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 27, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 37900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T123000&s=379.00&fn=9280440301480695&i=8734&fp=2728395552&n=1,,,
,"РИНОНОРМ-ТЕВА 0,1% 20МЛ. НАЗАЛ.СПРЕЙ /ТЕВА/",84,1,84,379,2021-09-17 12:30,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,,,
,ХАРТМАНН КОСМОПОР Е ПОВЯЗКА 10СМХ6СМ №25 П/ОПЕР. САМОКЛ. СТЕР. [HARTMANN COSMOPOR],375,"0,12",45,45,2021-09-17 11:40,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '614da358ef3efbf0512b6bc0', 'kind': 'kkt', 'createdAt': '2021-09-24T13:07:21+03:00', 'statusDescription': {}, 'qr': 't=20210917T1140&s=45.00&fn=9280440301480695&i=8724&fp=3214533289&n=1', 'operation': {'date': '2021-09-17T11:40', 'type': 1, 'sum': 4500}, 'process': [{'time': '2021-09-24T10:07:21+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 4500, 'documentId': 8724, 'fsId': '9280440301480695', 'fiscalSign': '3214533289', 'date': '2021-09-17T11:40'}, 'ticket': {'document': {'receipt': {'dateTime': 1631868000, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 4500, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8724, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 3214533289, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ХАРТМАНН КОСМОПОР Е ПОВЯЗКА 10СМХ6СМ №25 П/ОПЕР. САМОКЛ. СТЕР. [HARTMANN COSMOPOR]', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 37500, 'productType': 1, 'quantity': 0.12, 'sum': 4500}], 'kktRegId': '0004067186040429    ', 'nds10': 409, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 17, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 4500, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T114000&s=45.00&fn=9280440301480695&i=8724&fp=3214533289&n=1,,,
,ДЖЕС ПЛЮС №28 ТАБ. П/П/О,1089,1,1089,1089,2021-09-17 16:06,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '614da3daef3efbf0512b6be1', 'kind': 'kkt', 'createdAt': '2021-09-24T13:09:30+03:00', 'statusDescription': {}, 'qr': 't=20210917T1606&s=1089.00&fn=9280440301480695&i=8763&fp=1429107899&n=1', 'operation': {'date': '2021-09-17T16:06', 'type': 1, 'sum': 108900}, 'process': [{'time': '2021-09-24T10:09:30+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 108900, 'documentId': 8763, 'fsId': '9280440301480695', 'fiscalSign': '1429107899', 'date': '2021-09-17T16:06'}, 'ticket': {'document': {'receipt': {'dateTime': 1631883960, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 108900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8763, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1429107899, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ДЖЕС ПЛЮС №28 ТАБ. П/П/О', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 108900, 'productType': 1, 'productCodeData': {'gtin': 4029668001668, 'rawProductCode': '444D03AA3AEE078431303235323639353139313932', 'productIdType': 6, 'sernum': '1025269519192'}, 'quantity': 1, 'sum': 108900}], 'kktRegId': '0004067186040429    ', 'nds10': 9900, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 56, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 108900, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T160600&s=1089.00&fn=9280440301480695&i=8763&fp=1429107899&n=1,,,
,"Пакет ""майка"" малый Котоваськино(шт)","6,6",1,"6,6",1079,2021-09-18 13:13,Магазин,"630090, г. Новосибирск, ул. Кутателадзе, д. 4","ООО ""Рич Пэтс""",5406177135,"ООО ""Рич Пэтс""",5406177135,"{'status': 2, 'id': '614da424ef3efbf0512b6bfa', 'kind': 'kkt', 'createdAt': '2021-09-24T13:11:52+03:00', 'statusDescription': {}, 'qr': 't=20210918T1313&s=1079.00&fn=9961440300029173&i=4179&fp=3816293373&n=1', 'operation': {'date': '2021-09-18T13:13', 'type': 1, 'sum': 107900}, 'process': [{'time': '2021-09-24T10:10:46+00:00', 'result': 30}, {'time': '2021-09-24T10:11:52+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 107900, 'documentId': 4179, 'fsId': '9961440300029173', 'fiscalSign': '3816293373', 'date': '2021-09-18T13:13'}, 'ticket': {'document': {'receipt': {'dateTime': 1631959980, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 107900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 4179, 'fiscalDriveNumber': '9961440300029173', 'fiscalSign': 3816293373, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Пакет ""майка"" малый Котоваськино(шт)', 'paymentType': 4, 'price': 660, 'productType': 1, 'quantity': 1, 'sum': 660}, {'name': 'Деревенские лакомства, Ломтики крольчатины для Собак мини пород(шт)', 'paymentType': 4, 'price': 24090, 'productType': 1, 'quantity': 1, 'sum': 24090}, {'name': 'Роял Канин, Чихуахуа, Паштет (Royal Canin, Adult Chihuahua) (Пауч)(шт, 85 гр)', 'paymentType': 4, 'price': 6160, 'productType': 1, 'quantity': 5, 'sum': 30800}, {'name': 'Деревенские лакомства, Мясные колбаски из Кролика для Собак 50г(шт)', 'paymentType': 4, 'price': 18370, 'productType': 1, 'quantity': 1, 'sum': 18370}, {'name': 'Мнямс, Лакомые палочки для Кошек, Цыпленок и Утка, 10х5 г(шт, не назначена)', 'paymentType': 4, 'price': 33980, 'productType': 1, 'quantity': 1, 'sum': 33980}], 'kktRegId': '0000635879051189    ', 'ndsNo': 107900, 'operationType': 1, 'operator': 'Магазин Эдем', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 22, 'retailPlace': 'Магазин', 'retailPlaceAddress': '630090, г. Новосибирск, ул. Кутателадзе, д. 4', 'shiftNumber': 68, 'taxationType': 4, 'appliedTaxationType': 4, 'totalSum': 107900, 'user': 'ООО ""Рич Пэтс""', 'userInn': '5406177135  '}}}, 'organization': {'name': 'ООО ""Рич Пэтс""', 'inn': '5406177135'}, 'seller': {'name': 'ООО ""Рич Пэтс""', 'inn': '5406177135'}}",t=20210918T131300&s=1079.00&fn=9961440300029173&i=4179&fp=3816293373&n=1,,,
,"Деревенские лакомства, Ломтики крольчатины для Собак мини пород(шт)","240,9",1,"240,9",1079,2021-09-18 13:13,Магазин,"630090, г. Новосибирск, ул. Кутателадзе, д. 4","ООО ""Рич Пэтс""",5406177135,"ООО ""Рич Пэтс""",5406177135,,,,,
,"Роял Канин, Чихуахуа, Паштет (Royal Canin, Adult Chihuahua) (Пауч)(шт, 85 гр)","61,6",5,308,1079,2021-09-18 13:13,Магазин,"630090, г. Новосибирск, ул. Кутателадзе, д. 4","ООО ""Рич Пэтс""",5406177135,"ООО ""Рич Пэтс""",5406177135,,,,,
,"Деревенские лакомства, Мясные колбаски из Кролика для Собак 50г(шт)","183,7",1,"183,7",1079,2021-09-18 13:13,Магазин,"630090, г. Новосибирск, ул. Кутателадзе, д. 4","ООО ""Рич Пэтс""",5406177135,"ООО ""Рич Пэтс""",5406177135,,,,,
,"Мнямс, Лакомые палочки для Кошек, Цыпленок и Утка, 10х5 г(шт, не назначена)","339,8",1,"339,8",1079,2021-09-18 13:13,Магазин,"630090, г. Новосибирск, ул. Кутателадзе, д. 4","ООО ""Рич Пэтс""",5406177135,"ООО ""Рич Пэтс""",5406177135,,,,,
,НАНОПЛАСТ ФОРТЕ ПЛАСТЫРЬ ОБЕЗБОЛ. 11Х16СМ. №3,197,1,197,197,2021-09-16 21:58,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '614dcb4a86fc9d87df36bd2d', 'kind': 'kkt', 'createdAt': '2021-09-24T15:57:46+03:00', 'statusDescription': {}, 'qr': 't=20210916T2158&s=197.00&fn=9280440301480695&i=8704&fp=1017838107&n=1', 'operation': {'date': '2021-09-16T21:58', 'type': 1, 'sum': 19700}, 'process': [{'time': '2021-09-24T12:57:46+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 19700, 'documentId': 8704, 'fsId': '9280440301480695', 'fiscalSign': '1017838107', 'date': '2021-09-16T21:58'}, 'ticket': {'document': {'receipt': {'dateTime': 1631818680, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 19700, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8704, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1017838107, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'НАНОПЛАСТ ФОРТЕ ПЛАСТЫРЬ ОБЕЗБОЛ. 11Х16СМ. №3', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 19700, 'productType': 1, 'quantity': 1, 'sum': 19700}], 'kktRegId': '0004067186040429    ', 'nds10': 1791, 'operationType': 1, 'operator': ' Яковлева С.Н.', 'operatorInn': '544508841722', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 154, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 67, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 19700, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210916T215800&s=197.00&fn=9280440301480695&i=8704&fp=1017838107&n=1,,,
,"Напиток безалкогольный среднегазированный ""Домашний лимонад Имбирный"" СТЕКЛОБУТЫЛКА 0,5 л","54,99",1,"54,99","653,87",2021-09-24 19:09,Магазин,"630058, Новосибирская область, г. Новосибирск,ул. 2-я Миргородская, 5","ООО ""КРАСНОЯРСКИЙ""",2452048548,"ООО ""КРАСНОЯРСКИЙ""",2452048548,"{'status': 2, 'id': '614e9cfc6c74136650fd592c', 'kind': 'kkt', 'createdAt': '2021-09-25T06:52:28+03:00', 'statusDescription': {}, 'qr': 't=20210924T1909&s=653.87&fn=9960440300938700&i=2143&fp=209015296&n=1', 'operation': {'date': '2021-09-24T19:09', 'type': 1, 'sum': 65387}, 'process': [{'time': '2021-09-25T03:52:28+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 65387, 'documentId': 2143, 'fsId': '9960440300938700', 'fiscalSign': '209015296', 'date': '2021-09-24T19:09'}, 'ticket': {'document': {'receipt': {'dateTime': 1632499740, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 65387, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 2143, 'fiscalDriveNumber': '9960440300938700', 'fiscalSign': 209015296, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Напиток безалкогольный среднегазированный ""Домашний лимонад Имбирный"" СТЕКЛОБУТЫЛКА 0,5 л', 'paymentType': 4, 'price': 5499, 'productType': 1, 'quantity': 1, 'sum': 5499}, {'name': 'Зажигалка Cricket', 'paymentType': 4, 'price': 4099, 'productType': 1, 'quantity': 1, 'sum': 4099}, {'name': 'Бутылка  1,0л', 'paymentType': 4, 'price': 1299, 'productType': 1, 'quantity': 4, 'sum': 5196}, {'name': 'ДЕ светлое НПК', 'paymentType': 4, 'price': 8129, 'productType': 1, 'quantity': 4, 'sum': 32516}, {'name': 'Кальмар рваный сушеный ""по-шанхайски""', 'paymentType': 4, 'price': 130990, 'productType': 1, 'quantity': 0.138, 'sum': 18077}], 'kktRegId': '0005730258021891    ', 'ndsNo': 65387, 'operationType': 1, 'operator': 'Федоренко Марина Владимировна', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 31, 'retailPlace': 'Магазин', 'retailPlaceAddress': '630058, Новосибирская область, г. Новосибирск,ул. 2-я Миргородская, 5', 'shiftNumber': 46, 'taxationType': 2, 'appliedTaxationType': 2, 'totalSum': 65387, 'user': 'ООО ""КРАСНОЯРСКИЙ""', 'userInn': '2452048548  '}}}, 'organization': {'name': 'ООО ""КРАСНОЯРСКИЙ""', 'inn': '2452048548'}, 'seller': {'name': 'ООО ""КРАСНОЯРСКИЙ""', 'inn': '2452048548'}}",t=20210924T1909&s=653.87&fn=9960440300938700&i=2143&fp=209015296&n=1,,,
,Зажигалка Cricket,"40,99",1,"40,99","653,87",2021-09-24 19:09,Магазин,"630058, Новосибирская область, г. Новосибирск,ул. 2-я Миргородская, 5","ООО ""КРАСНОЯРСКИЙ""",2452048548,"ООО ""КРАСНОЯРСКИЙ""",2452048548,,,,,
,"Бутылка  1,0л","12,99",4,"51,96","653,87",2021-09-24 19:09,Магазин,"630058, Новосибирская область, г. Новосибирск,ул. 2-я Миргородская, 5","ООО ""КРАСНОЯРСКИЙ""",2452048548,"ООО ""КРАСНОЯРСКИЙ""",2452048548,,,,,
,ДЕ светлое НПК,"81,29",4,"325,16","653,87",2021-09-24 19:09,Магазин,"630058, Новосибирская область, г. Новосибирск,ул. 2-я Миргородская, 5","ООО ""КРАСНОЯРСКИЙ""",2452048548,"ООО ""КРАСНОЯРСКИЙ""",2452048548,,,,,
,"Кальмар рваный сушеный ""по-шанхайски""","1309,9","0,138","180,77","653,87",2021-09-24 19:09,Магазин,"630058, Новосибирская область, г. Новосибирск,ул. 2-я Миргородская, 5","ООО ""КРАСНОЯРСКИЙ""",2452048548,"ООО ""КРАСНОЯРСКИЙ""",2452048548,,,,,
